name,quantity,unit,price,currency,date,reseller,zipcode
Jever FUN Alkoholfrei,"0,33",l,"1,29",€,18/08/2024,Flink,
Jever Pilsener,"0,33",l,"1,09",€,18/08/2024,Flink,
Becks Gold,"6x0,33",l,"5,19",€,18/08/2024,Flink,
Becks Pils,"0,33",l,"0,99",€,18/08/2024,Flink,
Becks Pils,"6x0,33",l,"3,99",€,18/08/2024,Flink,
Becks unfiltered,"0,33",l,"0,99",€,18/08/2024,Flink,
Becks unfiltered,"6x0,33",l,"5,79",€,18/08/2024,Flink,
Krombacher Pils,"0,5",l,"1,09",€,18/08/2024,Flink,
Krombacher Pils Dose,"0,5",l,"1,09",€,18/08/2024,Flink,
Astra Urtyp,"0,33",l,"1,19",€,18/08/2024,Flink,
Rothaus Tannenzäpfle Pils,"0,33",l,"1,29",€,18/08/2024,Flink,
Flensburger Pilsner,"0,33",l,"1,29",€,18/08/2024,Flink,
Jever Pilsener,"0,33",l,"1,09",€,18/08/2024,Flink,
Veltins Pilsener Dose,"0,5",l,"1,09",€,18/08/2024,Flink,
Störtebeker Pilsener,"0,5",l,"1,49",€,18/08/2024,Flink,
BRLO Happy Pils,"0,33",l,"1,99",€,18/08/2024,Flink,
Holsten Edel,"0,33",l,"0,99",€,18/08/2024,Flink,
Holsten Pilsener Dose,"0,5",l,"0,89",€,18/08/2024,Flink,
Berliner Kindl Jubiläums Pilsner,"0,5",l,"1,09",€,18/08/2024,Flink,
Ratsherrn Pilsener,"0,33",l,"1,19",€,18/08/2024,Flink,
Ur Krostitzer Pils,"0,5",l,"1,09",€,18/08/2024,Flink,
Berliner Pilsener,"0,5",l,"1,09",€,18/08/2024,Flink,
Feldschlößchen Pilsner,"0,5",l,"0,69",€,18/08/2024,Flink,
Berliner Berg Pils,"0,5",l,"1,59",€,18/08/2024,Flink,
Bitburger Pils,"0,33",ll,"0,39",€,18/08/2024,Flink,
Bitburger Pils,"0,5",l,"1,29",€,18/08/2024,Flink,
Eichbaum Pilsener,"0,5",l,"1,09",€,18/08/2024,Flink,
Eichbaum Ureich Premium Pils,"0,33",l,"1,09",€,18/08/2024,Flink,
Landgang Landgang Pilsner,"0,33",l,"2,09",€,18/08/2024,Flink,
MARX Städter Pils Flasche,"0,33",l,"0,99",€,18/08/2024,Flink,
Wulle Pils,"0,33",l,"1,19",€,18/08/2024,Flink,
Berliner Pranke,"0,5",l,"1,09",€,18/08/2024,Flink,
Lillebräu Pils,"0,33",l,"1,69",€,18/08/2024,Flink,
König Pilsener,"0,5",l,"1,09",€,18/08/2024,Flink,
Eulchen Pils,"0,33",l,"1,99",€,18/08/2024,Flink,
Stauder Pils,"0,5",l,"1,09",€,18/08/2024,Flink,
Stuttgarter Hofbräu Pilsner,"0,5",l,"1,09",€,18/08/2024,Flink,
Stuttgarter Hofbräu Premium,"0,5",l,"1,09",€,18/08/2024,Flink,
Freiberger Pils,"0,5",l,"1,09",€,18/08/2024,Flink,
Radeberger Pilsner,"0,5",l,"0,99",€,18/08/2024,Flink,
Wolters Premium Pils,"0,50",l,"1,09",€,18/08/2024,Flink,
Wolters Premium Pilsener,"6x0,33",l,"4,99",€,18/08/2024,Flink,
Kronen Pilsener,"0,5",l,"0,79",€,18/08/2024,Flink,
Fiege Pils,"0,5",l,"1,09",€,18/08/2024,Flink,
Fächerbräu Pils Bio,"0,33",l,"1,79",€,18/08/2024,Flink,
Welde No.1 Premium Pils,"0,5",l,"1,19",€,18/08/2024,Flink,
Binding Römer Pils,"0,5",l,"0,99",€,18/08/2024,Flink,
Ganter kleiner Greif,"0,33",l,"1,09",€,18/08/2024,Flink,
Hasseröder Pils,"0,5",l,"0,99",€,18/08/2024,Flink,
Brinkhoffs Pils,"0,33",l,"0,99",€,18/08/2024,Flink,
Hoepfner Pilsner,"0,5",l,"1,29",€,18/08/2024,Flink,
Dresdner Felsenkeller Pils,"0,5",l,"0,99",€,18/08/2024,Flink,
Herrenhäuser Premium Pilsener,"0,33",l,"0,99",€,18/08/2024,Flink,
Ols Naturtrüb,"6x0,33",l,"6,69",€,18/08/2024,Flink,
Waldhaus Pils,"0,5",l,"1,19",€,18/08/2024,Flink,
Warsteiner Premium Pilsener Dose,"0,5",l,"1,09",€,18/08/2024,Flink,
Fürstenberg Pils,"0,5",l,"0,99",€,18/08/2024,Flink,
Fattigauer Bier,"0,5",l,"1,39",€,18/08/2024,Flink,
"5,0 Original Pils Dose","0,5",l,"0,69",€,18/08/2024,Flink,
Bayreuther Hell,"0,5",l,"1,19",€,18/08/2024,Flink,
Paulaner Original Münchner hell,"0,5",l,"1,29",€,18/08/2024,Flink,
Augustiner Lagerbier Hell,"0,5",l,"1,15",€,18/08/2024,Flink,
Mönchshof Hell,"0,5",l,"1,19",€,18/08/2024,Flink,
Spaten München Hell,"0,5",l,"1,19",€,18/08/2024,Flink,
Flensburger Edles Helles,"6x0,33",l,"5,69",€,18/08/2024,Flink,
Tegernseer Hell,"0,5",l,"1,59",€,18/08/2024,Flink,
Benediktiner Hell,"0,5",l,"1,29",€,18/08/2024,Flink,
Starnberger Hell,"0,5",l,"1,29",€,18/08/2024,Flink,
Störtebeker Nordisch Hell,"0,5",l,"1,39",€,18/08/2024,Flink,
Chiemseer Hell,"0,5",l,"1,39",€,18/08/2024,Flink,
Grüner Hell,"0,5",l,"1,09",€,18/08/2024,Flink,
Carlsberg Beer,"0,5",l,"1,19",€,18/08/2024,Flink,
Ratsherrn Hamburger Hell,"0,33",l,"1,19",€,18/08/2024,Flink,
Giesinger Erhellung,"0,5",l,"1,59",€,18/08/2024,Flink,
Hacker Pschorr Münchner Hell,"0,5",l,"1,49",€,18/08/2024,Flink,
Schanzenbräu Hell,"0,5",l,"1,59",€,18/08/2024,Flink,
Arcobräu Mooser Liesl,"0,5",l,"1,39",€,18/08/2024,Flink,
Eichbaum Helles,"0,33",l,"1,09",€,18/08/2024,Flink,
Wulle Vollbier Hell,"0,33",l,"1,09",€,18/08/2024,Flink,
Wulle Vollbier Hell,"0,5",l,"1,19",€,18/08/2024,Flink,
Moninger Helles der kleine Karl,330,ml,"0,99",€,18/08/2024,Flink,
Lillebräu Helles,"0,33",l,"1,69",€,18/08/2024,Flink,
Hacklberg Urhell,"0,5",l,"0,99",€,18/08/2024,Flink,
Eulchen Helles,"0,33",l,"1,99",€,18/08/2024,Flink,
Flink Schnelles Helles,"0,33",l,"1,79",€,18/08/2024,Flink,
Fächerbräu Hell Bio,"0,33",l,"1,79",€,18/08/2024,Flink,
Vagabund Hauptstadt Helles,"0,33",l,"1,99",€,18/08/2024,Flink,
Corona Extra,"0,355",l,"1,59",€,18/08/2024,Flink,
Corona Extra,"6x0,355",l,"7,49",€,18/08/2024,Flink,
Heineken Lager Original,"0,33",l,"1,19",€,18/08/2024,Flink,
Heineken Lager Original,"6x0,33",l,"6,29",€,18/08/2024,Flink,
Desperados,"0,33",l,"1,69",€,18/08/2024,Flink,
Tyskie,"0,5",l,"1,39",€,18/08/2024,Flink,
Budweiser Budvar Lager,"0,5",l,"1,39",€,18/08/2024,Flink,
Peroni Nastro Azzurro,"6x0,33",l,"6,69",€,18/08/2024,Flink,
Pilsner Urquell,"0,33",l,"1,39",€,18/08/2024,Flink,
San Miguel Especial,6,x,"6,79",€,18/08/2024,Flink,
Carlsberg Lager,"6x0,33",l,"6,79",€,18/08/2024,Flink,
Diebels Altbier,"0,33",l,"0,89",€,18/08/2024,Flink,
Berliner Berg Lager,"0,33",l,"1,79",€,18/08/2024,Flink,
Hövels Original,"0,5",l,"1,49",€,18/08/2024,Flink,
Stone Buenaveza Mexican Lager,"0,355",l,"2,69",€,18/08/2024,Flink,
Innstadt-Bräu Bio-Export,"0,33",l,"1,19",€,18/08/2024,Flink,
Eichbaum Kellerbier,"0,33",l,"1,09",€,18/08/2024,Flink,
Becks Green Lemon,"0,33",l,"0,99",€,18/08/2024,Flink,
Becks Ice,"0,33",l,"0,89",€,18/08/2024,Flink,
Becks Ice,"6x0,33",l,"3,99",€,18/08/2024,Flink,
Becks Lemon Brew,"6x0,33",l,"5,49",€,18/08/2024,Flink,
Gösser Naturradler,"0,5",l,"1,09",€,18/08/2024,Flink,
Gösser Naturradler,"0,33",l,"0,79",€,18/08/2024,Flink,
Krombacher Limobier Zitrone,6,x,"5,19",€,18/08/2024,Flink,
Mönchshof Natur Radler,"0,5",l,"1,09",€,18/08/2024,Flink,
Astra Kiezmische,"0,33",l,"0,99",€,18/08/2024,Flink,
"Astra Kiezmische Dose 2,5%","0,33",L,"0,99",€,18/08/2024,Flink,
Veltins V Curuba Tequila-Flavour,"0,5",l,"1,09",€,18/08/2024,Flink,
Schöfferhofer Grapefruit,"0,5",l,"1,09",€,18/08/2024,Flink,
Schöfferhofer Grapefruit,"6x0,33",l,"6,29",€,18/08/2024,Flink,
Schöfferhofer Grapefruit,"0,33",l,"1,09",€,18/08/2024,Flink,
Ratsherrn Alster Hell,"0,33",l,"1,19",€,18/08/2024,Flink,
Ratsherrn Alsterwasser,"0,33",l,"1,19",€,18/08/2024,Flink,
Früh Kölsch Naturradler,"0,33",l,"1,19",€,18/08/2024,Flink,
Hacker Pschorr Natur Radler,"0,5",l,"1,39",€,18/08/2024,Flink,
Feldschlösschen Grapefruit Naturtrüb,"0,5",l,"0,89",€,18/08/2024,Flink,
Feldschlösschen Radler Naturtrüb,"0,5",l,"0,99",€,18/08/2024,Flink,
Bitburger Radler,"0,5",l,"1,09",€,18/08/2024,Flink,
Eichbaum Naturradler,"0,33",l,"1,09",€,18/08/2024,Flink,
MARX Städter Himbeer-Radler Flasche,"0,33",l,"0,89",€,18/08/2024,Flink,
MARX Städter Natur-Radler Flasche,"0,33",l,"0,99",€,18/08/2024,Flink,
Salitos Tequila,"0,5",l,"1,69",€,18/08/2024,Flink,
Gilde Radler Naturtrüb,"0,33",l,"0,99",€,18/08/2024,Flink,
Hacklberg Radler Naturtrüb,"0,5",l,"0,99",€,18/08/2024,Flink,
Freiburger Naturradler,"0,33",l,"0,99",€,18/08/2024,Flink,
Karlsberg Mixery Cola,"0,5",l,"1,19",€,18/08/2024,Flink,
Zappes Broi Bio-Radler naturtrüb,"0,33",l,"2,39",€,18/08/2024,Flink,
Erdinger Weißbier,"0,5",l,"1,29",€,18/08/2024,Flink,
Paulaner Weißbier Naturtrüb,"0,5",l,"1,29",€,18/08/2024,Flink,
Franziskaner Weißbier Naturtrüb,"0,5",l,"1,19",€,18/08/2024,Flink,
Maisel Weiße Original,"0,5",l,"1,29",€,18/08/2024,Flink,
Benediktiner Weißbier Naturtrüb,"0,5",l,"1,39",€,18/08/2024,Flink,
Schneider Weisse Original,"0,5",l,"1,49",€,18/08/2024,Flink,
Seidenbrauerei Seide Wiess,"0,33",l,"1,99",€,18/08/2024,Flink,
Aktien Zwickl,"0,5",l,"1,19",€,18/08/2024,Flink,
Augustiner Edelstoff,"0,5",l,"1,39",€,18/08/2024,Flink,
Guinness Hop House 13,"0,33",l,"1,19",€,18/08/2024,Flink,
Guinness Irish Draught,"0,44",l,"1,89",€,18/08/2024,Flink,
Mönchshof Kellerbier,"0,5",l,"1,29",€,18/08/2024,Flink,
Maisel & Friends IPA,"0,33",l,"1,29",€,18/08/2024,Flink,
Maisel & Friends Pale Ale,"0,33",l,"1,59",€,18/08/2024,Flink,
Reissdorf Kölsch,"0,33",l,"0,99",€,18/08/2024,Flink,
Störtebeker Atlantik Ale,"0,5",l,"1,59",€,18/08/2024,Flink,
Störtebeker Brauspezialitäten Nordik Porter,"0,33",L,"2,69",€,18/08/2024,Flink,
BRLO German IPA,"0,33",l,"2,09",€,18/08/2024,Flink,
BRLO Pale Ale,"0,33",l,"2,29",€,18/08/2024,Flink,
Schreckenskammer Kölsch,"0,5",l,"1,59",€,18/08/2024,Flink,
Seidenbrauerei Samt Altbier,"0,33",l,"1,99",€,18/08/2024,Flink,
Sternburg Export,"0,5",l,"0,69",€,18/08/2024,Flink,
Elephant Beer,"0,5",l,"1,39",€,18/08/2024,Flink,
Grevensteiner Landbier,"0,33",l,"1,09",€,18/08/2024,Flink,
Ratsherrn Altes Mädchen Zwickl,"0,33",l,"1,19",€,18/08/2024,Flink,
Ratsherrn Küsten IPA,"0,33",l,"1,39",€,18/08/2024,Flink,
Früh Kölsch,"0,33",l,"1,19",€,18/08/2024,Flink,
Gaffel Kölsch,"0,33",l,"1,09",€,18/08/2024,Flink,
Gaffel Wiess,"0,33",l,"1,09",€,18/08/2024,Flink,
Zirndorfer Landbier,"0,5",l,"1,29",€,18/08/2024,Flink,
Berliner Berg Pale Ale,"0,33",l,"1,99",€,18/08/2024,Flink,
Stone Hazy IPA,"0,355",l,"2,49",€,18/08/2024,Flink,
Stone Neverending Haze IPA,"0,355",l,"2,49",€,18/08/2024,Flink,
Füchschen Altbier,"0,5",l,"1,99",€,18/08/2024,Flink,
Landgang Helle Aufregung,"0,33",l,"2,29",€,18/08/2024,Flink,
Mühlen Kölsch,"0,33",l,"1,29",€,18/08/2024,Flink,
Moninger Bertold Bock Dunkel,500,ml,"0,89",€,18/08/2024,Flink,
Moninger Export Die Moni,500,ml,"0,99",€,18/08/2024,Flink,
Bolten Alt-Bier,"0,33",l,"1,19",€,18/08/2024,Flink,
Hacklberg Jubiläumsbier,"0,5",l,"1,09",€,18/08/2024,Flink,
Lausitzer Porter,"0,5",l,"1,09",€,18/08/2024,Flink,
