name,quantity,unit,price,currency,date,reseller,zipcode
Hansa Export,"20 x 0,5",L,"10,99",€,24/08/2024,Flaschenpost,22159
Dortmunder Union Export,"20 x 0,5",L,"13,99",€,24/08/2024,Flaschenpost,22159
Oettinger Export,"20 x 0,5",L,"12,99",€,24/08/2024,Flaschenpost,22159
Astra Rotlicht,"27 x 0,33",L,"17,99",€,24/08/2024,Flaschenpost,22159
Störtebeker Pazifik-Ale,"20 x 0,5",L,"35,99",€,24/08/2024,Flaschenpost,22159
Störtebeker Atlantik-Ale,"20 x 0,5",L,"22,99",€,24/08/2024,Flaschenpost,22159
Kloster Scheyern Gold Dunkel,"20 x 0,5",L,"20,99",€,24/08/2024,Flaschenpost,22159
Maisel & Friends IPA,"24 x 0,33",L,"27,99",€,24/08/2024,Flaschenpost,22159
Warsteiner Brewers Gold,"20 x 0,5",L,"17,99",€,24/08/2024,Flaschenpost,22159
Köstritzer Schwarzbier,"20 x 0,5",L,"20,49",€,24/08/2024,Flaschenpost,22159
Maisel & Friends Pale Ale,"24 x 0,33",L,"27,99",€,24/08/2024,Flaschenpost,22159
Störtebeker Schwarz-Bier,"20 x 0,5",L,"20,99",€,24/08/2024,Flaschenpost,22159
Altenmünster Urig Würzig,"14 x 0,5",L,"15,49",€,24/08/2024,Flaschenpost,22159
