name,quantity,unit,price,currency,date,reseller,zipcode
Heineken,"28 x 0,25",L,"21,99",€,24/08/2024,Flaschenpost,22159
Heineken,"20 x 0,4",L,"22,49",€,24/08/2024,Flaschenpost,22159
Corona Extra Premium Lager,"20 x 0,355",L,"25,99",€,24/08/2024,Flaschenpost,22159
Desperados Original,"24 x 0,33",L,"39,99",€,24/08/2024,Flaschenpost,22159
Tyskie,"20 x 0,5",L,"18,99",€,24/08/2024,Flaschenpost,22159
San Miguel,"24 x 0,33",L,"22,99",€,24/08/2024,Flaschenpost,22159
Peroni Nastro Azzurro,"24 x 0,33",L,"27,49",€,24/08/2024,Flaschenpost,22159
Pilsner Urquell,"20 x 0,5",L,"21,49",€,24/08/2024,Flaschenpost,22159
Pilsner Urquell,"24 x 0,33",L,"21,49",€,24/08/2024,Flaschenpost,22159
Budweiser Budvar,"20 x 0,5",L,"20,99",€,24/08/2024,Flaschenpost,22159
Corona + Kühltruhe,"12 x 0,355",L,"59,99",€,24/08/2024,Flaschenpost,22159
Staropramen,"20 x 0,5",L,"19,99",€,24/08/2024,Flaschenpost,22159
