name,quantity,unit,price,currency,date,reseller,zipcode
Gaffel Kölsch,"20 x 0,5",L,"17,99",€,24/08/2024,Flaschenpost,22159
Gaffel Kölsch,"24 x 0,33",L,"17,99",€,24/08/2024,Flaschenpost,22159
Schreckenskammer Kölsch,"20 x 0,5",L,"20,99",€,24/08/2024,Flaschenpost,22159
Schreckenskammer Kölsch,"20 x 0,33",L,"19,99",€,24/08/2024,Flaschenpost,22159
Früh Kölsch,"20 x 0,5",L,"18,99",€,24/08/2024,Flaschenpost,22159
Früh Kölsch,"24 x 0,33",L,"18,99",€,24/08/2024,Flaschenpost,22159
Mühlen Kölsch,"20 x 0,5",L,"19,99",€,24/08/2024,Flaschenpost,22159
Mühlen Kölsch,"20 x 0,33",L,"18,99",€,24/08/2024,Flaschenpost,22159
Gilden Kölsch,"20 x 0,5",L,"15,99",€,24/08/2024,Flaschenpost,22159
Gilden Kölsch,"24 x 0,33",L,"15,99",€,24/08/2024,Flaschenpost,22159
Sester Kölsch,"20 x 0,5",L,"13,49",€,24/08/2024,Flaschenpost,22159
Dom Kölsch,"20 x 0,5",L,"15,99",€,24/08/2024,Flaschenpost,22159
Dom Kölsch,"24 x 0,33",L,"15,99",€,24/08/2024,Flaschenpost,22159
Sünner Kölsch,"24 x 0,33",L,"19,99",€,24/08/2024,Flaschenpost,22159
Sion Kölsch,"20 x 0,5",L,"16,49",€,24/08/2024,Flaschenpost,22159
