name,quantity,unit,price,currency,date,reseller,zipcode
Oberdorfer Helles,"20 x 0,5",L,"15,99",€,13/08/2024,Flaschenpost,22159
Oberdorfer Helles,"20 x 0,33",L,Out of stock,,13/08/2024,Flaschenpost,22159
Benediktiner Hell,"20 x 0,5",L,"17,99",€,13/08/2024,Flaschenpost,22159
Erdinger Brauhaus Helles Lagerbier,"20 x 0,5",L,"20,99",€,13/08/2024,Flaschenpost,22159
Bayreuther Hell,"20 x 0,5",L,"19,99",€,13/08/2024,Flaschenpost,22159
Bayreuther Hell,"20 x 0,33",L,"18,99",€,13/08/2024,Flaschenpost,22159
Helles Pülleken,"24 x 0,33",L,"17,49",€,13/08/2024,Flaschenpost,22159
Augustiner Lagerbier Hell,"20 x 0,5",L,"22,99",€,13/08/2024,Flaschenpost,22159
Ratsherrn Hamburg Hell,"20 x 0,33",L,"20,49",€,13/08/2024,Flaschenpost,22159
Glucks Helles,"20 x 0,33",L,"14,49",€,13/08/2024,Flaschenpost,22159
Tegernseer Hell,"20 x 0,5",L,"23,49",€,13/08/2024,Flaschenpost,22159
Hasen-Bräu Hell,"20 x 0,5",L,"18,99",€,13/08/2024,Flaschenpost,22159
Kloster Scheyern Gold Hell,"20 x 0,5",L,"20,99",€,13/08/2024,Flaschenpost,22159
Chiemseer Hell,"20 x 0,5",L,"20,99",€,13/08/2024,Flaschenpost,22159
Mönchshof Hell,"20 x 0,5",L,"18,49",€,13/08/2024,Flaschenpost,22159
Hacker-Pschorr Münchner Hell,"20 x 0,5",L,"20,99",€,13/08/2024,Flaschenpost,22159
Starnberger Hell,"20 x 0,5",L,"19,99",€,13/08/2024,Flaschenpost,22159
Störtebeker Bio Nordisch-Hell,"20 x 0,5",L,"21,99",€,13/08/2024,Flaschenpost,22159
Allgäuer Büble Bayrisch Hell,"20 x 0,5",L,"19,99",€,13/08/2024,Flaschenpost,22159
Oettinger Helles,"20 x 0,5",L,"13,99",€,13/08/2024,Flaschenpost,22159
Grüner Vollbier Hell,"20 x 0,5",L,"18,49",€,13/08/2024,Flaschenpost,22159
Hofbräuhaus Hell,"20 x 0,5",L,"19,99",€,13/08/2024,Flaschenpost,22159
Flensburger Edles Helles,"20 x 0,33",L,"17,49",€,13/08/2024,Flaschenpost,22159
Allgäuer Büble Edelbräu,"20 x 0,5",L,"19,99",€,13/08/2024,Flaschenpost,22159
Oberbräu Hell,"20 x 0,5",L,"18,99",€,13/08/2024,Flaschenpost,22159
Veltins Helles Lager,"6 x 0,275",L,"5,99",€,13/08/2024,Flaschenpost,22159
Grevensteiner Helles,"16 x 0,5",L,"17,99",€,13/08/2024,Flaschenpost,22159
Paulaner Münchner Hell,"20 x 0,5",L,"21,49",€,13/08/2024,Flaschenpost,22159
Alpirsbacher Kloster Helles,"20 x 0,5",L,"21,99",€,13/08/2024,Flaschenpost,22159
Spaten Münchner Hell,"20 x 0,5",L,Out of stock,,13/08/2024,Flaschenpost,22159
