name,quantity,unit,price,currency,date,reseller,zipcode
Maisel's Weisse Original,"20 x 0,5",L,"16,99",€,18/08/2024,Flaschenpost,22159
Erdinger Weißbier,"20 x 0,5",L,"20,99",€,18/08/2024,Flaschenpost,22159
Paulaner Hefe-Weißbier Naturtrüb,"20 x 0,5",L,"21,49",€,18/08/2024,Flaschenpost,22159
Schöfferhofer Hefeweizen,"20 x 0,5",L,"17,99",€,18/08/2024,Flaschenpost,22159
Schneider Weisse Original,"20 x 0,5",L,"19,99",€,18/08/2024,Flaschenpost,22159
König Ludwig Weissbier Naturtrüb,"20 x 0,5",L,"19,99",€,18/08/2024,Flaschenpost,22159
Kapuziner Weißbier,"20 x 0,5",L,"17,99",€,18/08/2024,Flaschenpost,22159
König Ludwig Weißbier dunkel,"20 x 0,5",L,"19,99",€,18/08/2024,Flaschenpost,22159
Benediktiner Weissbier Naturtrüb,"20 x 0,5",L,"20,99",€,18/08/2024,Flaschenpost,22159
Allgäuer Büble Edelweissbier,"20 x 0,5",L,"19,99",€,18/08/2024,Flaschenpost,22159
Oettinger Hefe Weissbier,"20 x 0,5",L,"13,99",€,18/08/2024,Flaschenpost,22159
