name,quantity,unit,price,currency,date,reseller,zipcode
Ratsherrn Alster Hell,"24x0,33",l,"27,50",€,18/08/2024,Durstquelle,hamburg
Krombacher,"24x0,33",l,"21,00",€,18/08/2024,Durstquelle,hamburg
Ratsherrn Pils,"20x0,33",l,"23,00",€,18/08/2024,Durstquelle,hamburg
Warsteiner,"24x0,33",l,"19,90",€,18/08/2024,Durstquelle,hamburg
Veltins,"24x0,33",l,"21,50",€,18/08/2024,Durstquelle,hamburg
Astra Kiezmische,"27x0,33",l,"19,00",€,18/08/2024,Durstquelle,hamburg
Holsten Pils,"24x0,33",l,"20,50",€,18/08/2024,Durstquelle,hamburg
Dithmarscher Bügel,"20x0,33",l,"16,00",€,18/08/2024,Durstquelle,hamburg
Holsten Edel,"27x0,33",l,"18,00",€,18/08/2024,Durstquelle,hamburg
Flensburger Pils,"20x0,33",l,"18,50",€,18/08/2024,Durstquelle,hamburg
Dithmarscher Pils,"30x0,33",l,"17,90",€,18/08/2024,Durstquelle,hamburg
Heineken,"24x0,33",l,"25,20",€,18/08/2024,Durstquelle,hamburg
Budweiser,"24x0,33",l,"23,80",€,18/08/2024,Durstquelle,hamburg
Beck´s Bier,"24x0,33",l,"22,90",€,18/08/2024,Durstquelle,hamburg
Paulaner Hefe hell,"20x0,5",l,"22,90",€,18/08/2024,Durstquelle,hamburg
Jever,"24x0,33",l,"22,50",€,18/08/2024,Durstquelle,hamburg
Erdinger Hefe hell,"20x0,5",l,"22,90",€,18/08/2024,Durstquelle,hamburg
Flensburger frei,"20x0,33",l,"18,50",€,18/08/2024,Durstquelle,hamburg
Franziskaner Hefe hell,"20x0,5",l,"25,50",€,18/08/2024,Durstquelle,hamburg
Krombacher,"20x0,5",l,"21,50",€,18/08/2024,Durstquelle,hamburg
Beck´s Blue,"24x0,33",l,"22,90",€,18/08/2024,Durstquelle,hamburg
Erdinger alkoholfrei,"20x0,5",l,"22,90",€,18/08/2024,Durstquelle,hamburg
"Ratsherrn alkoholfrei 0,0%","20x0,33",l,"23,00",€,18/08/2024,Durstquelle,hamburg
Krombacher Vitamalz,"24x0,33",l,"16,20",€,18/08/2024,Durstquelle,hamburg
Krombacher alkoholfrei,"24x0,33",l,"21,00",€,18/08/2024,Durstquelle,hamburg
Flensburger Radler,"20x0,33",l,"18,50",€,18/08/2024,Durstquelle,hamburg
Flensburger Edles Helles,"20x0,33",l,"18,50",€,18/08/2024,Durstquelle,hamburg
Krombacher Radler,"24x0,33",l,"21,00",€,18/08/2024,Durstquelle,hamburg
Flensburger Gold,"20x0,33",l,"18,50",€,18/08/2024,Durstquelle,hamburg
Carlsberg  Club Beer,"24x0,33",l,"23,80",€,18/08/2024,Durstquelle,hamburg
Astra Rotlicht,"27x0,33",l,"19,00",€,18/08/2024,Durstquelle,hamburg
Astra Rakete,"27x0,33",l,"19,00",€,18/08/2024,Durstquelle,hamburg
Astra Urtyp,"27x0,33",l,"19,00",€,18/08/2024,Durstquelle,hamburg
