name,quantity,unit,price,currency,date,reseller,zipcode
Jever Fun,"20 x 0,5",L,"14,99",€,18/08/2024,Flaschenpost,22159
Jever Fun,"24 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
Maisel's Weisse Alkoholfrei,"20 x 0,5",L,"16,99",€,18/08/2024,Flaschenpost,22159
Schöfferhofer Grapefruit Alkoholfrei,"24 x 0,33",L,"15,49",€,18/08/2024,Flaschenpost,22159
Erdinger Alkoholfrei,"20 x 0,5",L,"20,99",€,18/08/2024,Flaschenpost,22159
Erdinger Alkoholfrei,"11 x 0,5",L,"12,99",€,18/08/2024,Flaschenpost,22159
Erdinger Alkoholfrei,"24 x 0,33",L,"20,99",€,18/08/2024,Flaschenpost,22159
"Krombacher 0,0% Pils Alkoholfrei","24 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
"Krombacher 0,0% Pils Alkoholfrei","20 x 0,5",L,"18,49",€,18/08/2024,Flaschenpost,22159
"Ratsherrn Pilsener Alkoholfrei 0,0%","20 x 0,33",L,"20,49",€,18/08/2024,Flaschenpost,22159
"Gösser Natur Radler 0,0%","20 x 0,5",L,"22,49",€,18/08/2024,Flaschenpost,22159
"Mönchshof Natur Radler Alkoholfrei 0,0%","20 x 0,5",L,"18,49",€,18/08/2024,Flaschenpost,22159
Störtebeker Atlantik-Ale Alkoholfrei,"20 x 0,5",L,"21,99",€,18/08/2024,Flaschenpost,22159
"Heineken 0,0% Alkoholfrei","4 x 6 x 0,33",L,"24,99",€,18/08/2024,Flaschenpost,22159
Krombacher Radler Alkoholfrei,"24 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
Jever Fun Zitrone,"24 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
Flensburger Frei,"20 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
Krombacher Pils Alkoholfrei,"20 x 0,5",L,"18,49",€,18/08/2024,Flaschenpost,22159
Krombacher Pils Alkoholfrei,"24 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
Störtebeker Bio Bernstein-Weizen Alkoholfrei,"20 x 0,5",L,"21,99",€,18/08/2024,Flaschenpost,22159
Rothaus Tannenzäpfle Alkoholfrei,"24 x 0,33",L,"20,99",€,18/08/2024,Flaschenpost,22159
Franziskaner Weißbier Alkoholfrei,"20 x 0,5",L,"22,99",€,18/08/2024,Flaschenpost,22159
"Carlsberg Lager 0,0%","20 x 0,5",L,"21,49",€,18/08/2024,Flaschenpost,22159
Mönchshof Naturtrübs Alkoholfrei,"20 x 0,5",L,"18,49",€,18/08/2024,Flaschenpost,22159
Beck's Blue Pils Alkoholfrei,"24 x 0,33",L,"19,99",€,18/08/2024,Flaschenpost,22159
Störtebeker Bio Frei-Bier,"20 x 0,5",L,"21,99",€,18/08/2024,Flaschenpost,22159
"Paulaner Weißbier-Zitrone Alkoholfrei 0,0%","20 x 0,5",L,"21,49",€,18/08/2024,Flaschenpost,22159
"Holsten Alkoholfrei 0,0%","24 x 0,33",L,"16,99",€,18/08/2024,Flaschenpost,22159
"Holsten Alkoholfrei 0,0%","20 x 0,5",L,"16,99",€,18/08/2024,Flaschenpost,22159
"Bitburger 0,0% Alkoholfreies Pils","24 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
"Schöfferhofer Weizen 0,0%","20 x 0,5",L,"17,99",€,18/08/2024,Flaschenpost,22159
"Paulaner Weißbier Alkoholfrei 0,0%","20 x 0,5",L,"21,49",€,18/08/2024,Flaschenpost,22159
"Krombacher Naturradler 0,0","24 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
Maisel & Friends Alkoholfrei,"4 x 6 x 0,33",L,"27,99",€,18/08/2024,Flaschenpost,22159
Bitburger Herb Alkoholfrei,"4 x 6 x 0,33",L,"19,99",€,18/08/2024,Flaschenpost,22159
Paulaner Natur Radler Alkoholfrei,"20 x 0,5",L,"21,49",€,18/08/2024,Flaschenpost,22159
ÜberQuell Pillepalle Alkoholfreies Pale Ale,"10 x 0,33",L,"21,99",€,18/08/2024,Flaschenpost,22159
"Ratsherrn Mildes Lime 0,0%","24 x 0,33",L,"24,99",€,18/08/2024,Flaschenpost,22159
Allgäuer Büble Edelweissbier Alkoholfrei,"20 x 0,5",L,"19,99",€,18/08/2024,Flaschenpost,22159
BRLO Naked,"24 x 0,33",L,"31,99",€,18/08/2024,Flaschenpost,22159
Clausthaler Extra Herb Alkoholfrei,"24 x 0,33",L,"17,99",€,18/08/2024,Flaschenpost,22159
Radeberger Alkoholfrei,"20 x 0,5",L,"18,99",€,18/08/2024,Flaschenpost,22159
Radeberger Alkoholfrei,"24 x 0,33",L,"18,99",€,18/08/2024,Flaschenpost,22159
"Bitburger Naturradler 0,0%","4 x 6 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
"Bitburger 0,0% Radler","24 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
"Veltins Alkoholfrei 0,0%","24 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
"Lübzer Alkoholfrei 0,0%","24 x 0,33",L,"17,99",€,18/08/2024,Flaschenpost,22159
Clausthaler Naturradler Alkoholfrei,"24 x 0,33",L,"17,99",€,18/08/2024,Flaschenpost,22159
Clausthaler Original Alkoholfrei,"24 x 0,33",L,"17,99",€,18/08/2024,Flaschenpost,22159
