name,quantity,unit,price,currency,date,reseller,zipcode
Maisel & Friends Pale Ale,"24 x 0,33",L,"27,99",€,13/08/2024,Flaschenpost,22159
ÜberQuell Mixkiste,"10 x 0,33",L,"22,99",€,13/08/2024,Flaschenpost,22159
Störtebeker Atlantik-Ale,"20 x 0,5",L,"21,99",€,13/08/2024,Flaschenpost,22159
Köstritzer Schwarzbier,"20 x 0,5",L,"20,49",€,13/08/2024,Flaschenpost,22159
Oettinger Export,"20 x 0,5",L,"12,99",€,13/08/2024,Flaschenpost,22159
Maisel & Friends IPA,"24 x 0,33",L,"27,99",€,13/08/2024,Flaschenpost,22159
Astra Rotlicht,"27 x 0,33",L,"15,99",€,13/08/2024,Flaschenpost,22159
Stiegl Goldbräu,"20 x 0,5",L,"23,99",€,13/08/2024,Flaschenpost,22159
Flensburger Gold,"20 x 0,33",L,"17,49",€,13/08/2024,Flaschenpost,22159
Störtebeker Schwarz-Bier,"20 x 0,5",L,"19,99",€,13/08/2024,Flaschenpost,22159
Störtebeker Pazifik-Ale,"20 x 0,5",L,"35,99",€,13/08/2024,Flaschenpost,22159
Kloster Scheyern Gold Dunkel,"20 x 0,5",L,"20,99",€,13/08/2024,Flaschenpost,22159
Altenmünster Urig Würzig,"14 x 0,5",L,"15,49",€,13/08/2024,Flaschenpost,22159
Eschenbach Bierspezialitäten Mixkiste,"20 x 0,5",L,"19,99",€,13/08/2024,Flaschenpost,22159
BRLO Helles,"24 x 0,33",L,"26,99",€,13/08/2024,Flaschenpost,22159
